song,artist
Wild Things,Alessia Cara
Kill Em With Kindness,Selena Gomez
Really Really,Kevin Gates
Came Here To Forget,Blake Shelton
Uber Everywhere,MadeinTYO
My Church,Maren Morris
Somewhere On A Beach,Dierks Bentley
Church Bells,Carrie Underwood
From The Ground Up,Dan + Shay
Lights Come On,Jason Aldean
I Hate U I Love U,gnash Featuring Olivia O'Brien
Wasted Time,Keith Urban
Wake Up,Fetty Wap
Messin' Around,Pitbull Featuring Enrique Iglesias
Body,Dreezy Featuring Jeremih
The Sound Of Silence,Disturbed
Head Over Boots,Jon Pardi
Record Year,Eric Church
Hype,Drake
Snapback,Old Dominion
You Don't Own Me,Grace Featuring G-Eazy
Childs Play,Drake
Still Here,Drake
Wherever I Go,OneRepublic
Nothing Is Promised,Mike WiLL Made-It x Rihanna
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Grammys,Drake Featuring Future
Think Of You,Chris Young Duet With Cassadee Pope
Gold,Kiiara
Noise,Kenny Chesney
Peter Pan,Kelsea Ballerini
Make You Miss Me,Sam Hunt
American Country Love Song,Jake Owen
Might Not,Belly Featuring The Weeknd
With You,Drake Featuring PARTYNEXTDOOR
"Sit Still, Look Pretty",Daya
Mind Reader,Dustin Lynch
Formation,Beyonce
With You Tonight _ Hasta El Amanecer,Nicky Jam
Ophelia,The Lumineers
Feel No Ways,Drake
Faded,Alan Walker
Fix,Chris Lane
Law,Yo Gotti Featuring E-40
Piece By Piece,Kelly Clarkson
Kiss It Better,Rihanna
Father Stretch My Hands Pt_ 1,Kanye West
Moolah,Young Greatness
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
Youth,Troye Sivan
One Dance,Drake Featuring WizKid & Kyla
Panda,Desiigner
Can't Stop The Feeling!,Justin Timberlake
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Don't Let Me Down,The Chainsmokers Featuring Daya
7 Years,Lukas Graham
I Took A Pill In Ibiza,Mike Posner
Needed Me,Rihanna
This Is What You Came For,Calvin Harris Featuring Rihanna
Just Like Fire,P!nk
Dangerous Woman,Ariana Grande
Work,Rihanna Featuring Drake
Don't Mind,Kent Jones
Never Forget You,Zara Larsson & MNEK
Pillowtalk,Zayn
Love Yourself,Justin Bieber
Cake By The Ocean,DNCE
Stressed Out,twenty one pilots
Cheap Thrills,Sia Featuring Sean Paul
My House,Flo Rida
H_O_L_Y_,Florida Georgia Line
Ride,twenty one pilots
Low Life,Future Featuring The Weeknd
"Me, Myself & I",G-Eazy x Bebe Rexha
Controlla,Drake
Close,Nick Jonas Featuring Tove Lo
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
Lost Boy,Ruth B
Let It Go,James Bay
Too Good,Drake Featuring Rihanna
Sorry,Justin Bieber
Send My Love (To Your New Lover),Adele
Oui,Jeremih
2 Phones,Kevin Gates
Pop Style,Drake Featuring The Throne
Cut It,O_T_ Genasis Featuring Young Dolph
Me Too,Meghan Trainor
Somewhere On A Beach,Dierks Bentley
Exchange,Bryson Tiller
Sorry,Beyonce
T-Shirt,Thomas Rhett
Came Here To Forget,Blake Shelton
No,Meghan Trainor
Middle,DJ Snake Featuring Bipolar Sunshine
Humble And Kind,Tim McGraw
Never Be Like You,Flume Featuring Kai
My Boo,Ghost Town DJ's
Into You,Ariana Grande
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
Wild Things,Alessia Cara
Wicked,Future
Really Really,Kevin Gates
The Sound Of Silence,Disturbed
Hype,Drake
Snapback,Old Dominion
Uber Everywhere,MadeinTYO
My Church,Maren Morris
Wake Up,Fetty Wap
I Hate U I Love U,gnash Featuring Olivia O'Brien
Childs Play,Drake
Still Here,Drake
Body,Dreezy Featuring Jeremih
Church Bells,Carrie Underwood
Lights Come On,Jason Aldean
Wasted Time,Keith Urban
Record Year,Eric Church
Grammys,Drake Featuring Future
Head Over Boots,Jon Pardi
Messin' Around,Pitbull Featuring Enrique Iglesias
Unsteady,X Ambassadors
You Don't Own Me,Grace Featuring G-Eazy
Mind Reader,Dustin Lynch
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Kill Em With Kindness,Selena Gomez
Think Of You,Chris Young Duet With Cassadee Pope
Might Not,Belly Featuring The Weeknd
With You,Drake Featuring PARTYNEXTDOOR
Wherever I Go,OneRepublic
Noise,Kenny Chesney
Feel No Ways,Drake
Law,Yo Gotti Featuring E-40
Formation,Beyonce
Gold,Kiiara
If It Ain't Love,Jason Derulo
Moolah,Young Greatness
From The Ground Up,Dan + Shay
9,Drake
Faded,Alan Walker
American Country Love Song,Jake Owen
Youth,Troye Sivan
Piece By Piece,Kelly Clarkson
Peter Pan,Kelsea Ballerini
Make You Miss Me,Sam Hunt
Kiss It Better,Rihanna
With You Tonight _ Hasta El Amanecer,Nicky Jam
Ophelia,The Lumineers
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
Different For Girls,Dierks Bentley Featuring Elle King
Fix,Chris Lane
"Sit Still, Look Pretty",Daya
One Dance,Drake Featuring WizKid & Kyla
Panda,Desiigner
Can't Stop The Feeling!,Justin Timberlake
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Don't Let Me Down,The Chainsmokers Featuring Daya
7 Years,Lukas Graham
I Took A Pill In Ibiza,Mike Posner
Dangerous Woman,Ariana Grande
Needed Me,Rihanna
Work,Rihanna Featuring Drake
This Is What You Came For,Calvin Harris Featuring Rihanna
Pillowtalk,Zayn
Never Forget You,Zara Larsson & MNEK
Cake By The Ocean,DNCE
Close,Nick Jonas Featuring Tove Lo
Just Like Fire,P!nk
Love Yourself,Justin Bieber
Stressed Out,twenty one pilots
My House,Flo Rida
"Me, Myself & I",G-Eazy x Bebe Rexha
Controlla,Drake
Low Life,Future Featuring The Weeknd
H_O_L_Y_,Florida Georgia Line
Cheap Thrills,Sia Featuring Sean Paul
Don't Mind,Kent Jones
Send My Love (To Your New Lover),Adele
Let It Go,James Bay
Pop Style,Drake Featuring The Throne
Lost Boy,Ruth B
Ride,twenty one pilots
Oui,Jeremih
2 Phones,Kevin Gates
Sorry,Justin Bieber
Too Good,Drake Featuring Rihanna
No,Meghan Trainor
Came Here To Forget,Blake Shelton
Cut It,O_T_ Genasis Featuring Young Dolph
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
Sorry,Beyonce
My Boo,Ghost Town DJ's
Me Too,Meghan Trainor
Exchange,Bryson Tiller
Middle,DJ Snake Featuring Bipolar Sunshine
Humble And Kind,Tim McGraw
Hype,Drake
One Call Away,Charlie Puth
T-Shirt,Thomas Rhett
Somewhere On A Beach,Dierks Bentley
The Sound Of Silence,Disturbed
Wild Things,Alessia Cara
Into You,Ariana Grande
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
Snapback,Old Dominion
Never Be Like You,Flume Featuring Kai
Still Here,Drake
Grammys,Drake Featuring Future
Childs Play,Drake
Wicked,Future
I Hate U I Love U,gnash Featuring Olivia O'Brien
My Church,Maren Morris
Uber Everywhere,MadeinTYO
Body,Dreezy Featuring Jeremih
Mind Reader,Dustin Lynch
With You,Drake Featuring PARTYNEXTDOOR
Feel No Ways,Drake
Messin' Around,Pitbull Featuring Enrique Iglesias
Church Bells,Carrie Underwood
You Don't Own Me,Grace Featuring G-Eazy
Think Of You,Chris Young Duet With Cassadee Pope
Wasted Time,Keith Urban
Head Over Boots,Jon Pardi
9,Drake
Lonesome Broken And Blue,Adam Wakefield
Record Year,Eric Church
Formation,Beyonce
If It Ain't Love,Jason Derulo
Lights Come On,Jason Aldean
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Might Not,Belly Featuring The Weeknd
Faded,Alan Walker
Wherever I Go,OneRepublic
U With Me_,Drake
Love On The Brain,Rihanna
Law,Yo Gotti Featuring E-40
Fire & Desire,Drake
Unsteady,X Ambassadors
Youth,Troye Sivan
Moolah,Young Greatness
Piece By Piece,Kelly Clarkson
From The Ground Up,Dan + Shay
Kiss It Better,Rihanna
Noise,Kenny Chesney
Hold Up,Beyonce
Every Breath You Take,Hannah Huston
Redemption,Drake
Gold,Kiiara
Ophelia,The Lumineers
With You Tonight _ Hasta El Amanecer,Nicky Jam
Wake Up,Fetty Wap
Down That Road,Alisan Porter
One Dance,Drake Featuring WizKid & Kyla
Panda,Desiigner
Can't Stop The Feeling!,Justin Timberlake
7 Years,Lukas Graham
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Don't Let Me Down,The Chainsmokers Featuring Daya
I Took A Pill In Ibiza,Mike Posner
Work,Rihanna Featuring Drake
Pillowtalk,Zayn
Needed Me,Rihanna
Love Yourself,Justin Bieber
This Is What You Came For,Calvin Harris Featuring Rihanna
Never Forget You,Zara Larsson & MNEK
Dangerous Woman,Ariana Grande
Stressed Out,twenty one pilots
My House,Flo Rida
Cake By The Ocean,DNCE
"Me, Myself & I",G-Eazy x Bebe Rexha
No,Meghan Trainor
Low Life,Future Featuring The Weeknd
H_O_L_Y_,Florida Georgia Line
Controlla,Drake
Pop Style,Drake Featuring The Throne
Close,Nick Jonas Featuring Tove Lo
Oui,Jeremih
Just Like Fire,P!nk
2 Phones,Kevin Gates
Let It Go,James Bay
Sorry,Justin Bieber
Lost Boy,Ruth B
Don't Mind,Kent Jones
My Boo,Ghost Town DJ's
Too Good,Drake Featuring Rihanna
Cheap Thrills,Sia Featuring Sean Paul
Hype,Drake
Ride,twenty one pilots
Exchange,Bryson Tiller
Middle,DJ Snake Featuring Bipolar Sunshine
Me Too,Meghan Trainor
Sorry,Beyonce
Stitches,Shawn Mendes
One Call Away,Charlie Puth
Cut It,O_T_ Genasis Featuring Young Dolph
Came Here To Forget,Blake Shelton
Somewhere On A Beach,Dierks Bentley
Humble And Kind,Tim McGraw
Still Here,Drake
Roses,The Chainsmokers Featuring Rozes
Don't,Bryson Tiller
Grammys,Drake Featuring Future
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
T-Shirt,Thomas Rhett
Wild Things,Alessia Cara
Snapback,Old Dominion
Childs Play,Drake
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
Mind Reader,Dustin Lynch
Never Be Like You,Flume Featuring Kai
With You,Drake Featuring PARTYNEXTDOOR
9,Drake
Feel No Ways,Drake
Wicked,Future
Formation,Beyonce
My Church,Maren Morris
Think Of You,Chris Young Duet With Cassadee Pope
The Sound Of Silence,Disturbed
Wherever I Go,OneRepublic
U With Me_,Drake
The Fighter,Keith Urban Featuring Carrie Underwood
Body,Dreezy Featuring Jeremih
Uber Everywhere,MadeinTYO
If It Ain't Love,Jason Derulo
Wasted Time,Keith Urban
Hold Up,Beyonce
Fire & Desire,Drake
I Hate U I Love U,gnash Featuring Olivia O'Brien
You Don't Own Me,Grace Featuring G-Eazy
Kiss It Better,Rihanna
Church Bells,Carrie Underwood
Might Not,Belly Featuring The Weeknd
Head Over Boots,Jon Pardi
Record Year,Eric Church
Redemption,Drake
Weston Road Flows,Drake
Keep The Family Close,Drake
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Law,Yo Gotti Featuring E-40
Piece By Piece,Kelly Clarkson
Faithful,Drake Featuring Pimp C & dvsn
Lights Come On,Jason Aldean
THat Part,ScHoolboy Q Featuring Kanye West
Blessings,Chance The Rapper Featuring Ty Dolla $ign
I'm Sorry,Adam Wakefield
Messin' Around,Pitbull Featuring Enrique Iglesias
Moolah,Young Greatness
Faded,Alan Walker
Noise,Kenny Chesney
Unsteady,X Ambassadors
Promise,Kid Ink Featuring Fetty Wap
Can't Stop The Feeling!,Justin Timberlake
One Dance,Drake Featuring WizKid & Kyla
Panda,Desiigner
7 Years,Lukas Graham
I Took A Pill In Ibiza,Mike Posner
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Don't Let Me Down,The Chainsmokers Featuring Daya
Work,Rihanna Featuring Drake
Pillowtalk,Zayn
Needed Me,Rihanna
Love Yourself,Justin Bieber
My House,Flo Rida
Stressed Out,twenty one pilots
Never Forget You,Zara Larsson & MNEK
This Is What You Came For,Calvin Harris Featuring Rihanna
Dangerous Woman,Ariana Grande
Cake By The Ocean,DNCE
"Me, Myself & I",G-Eazy x Bebe Rexha
No,Meghan Trainor
H_O_L_Y_,Florida Georgia Line
Low Life,Future Featuring The Weeknd
Oui,Jeremih
Pop Style,Drake Featuring The Throne
Sorry,Justin Bieber
2 Phones,Kevin Gates
Close,Nick Jonas Featuring Tove Lo
My Boo,Ghost Town DJ's
Let It Go,James Bay
Middle,DJ Snake Featuring Bipolar Sunshine
Just Like Fire,P!nk
Sorry,Beyonce
Exchange,Bryson Tiller
Lost Boy,Ruth B
Stitches,Shawn Mendes
Controlla,Drake
Don't Mind,Kent Jones
Cut It,O_T_ Genasis Featuring Young Dolph
Cheap Thrills,Sia Featuring Sean Paul
One Call Away,Charlie Puth
Somewhere On A Beach,Dierks Bentley
Too Good,Drake Featuring Rihanna
Roses,The Chainsmokers Featuring Rozes
Humble And Kind,Tim McGraw
Came Here To Forget,Blake Shelton
Ride,twenty one pilots
Don't,Bryson Tiller
Formation,Beyonce
Hold Up,Beyonce
Hype,Drake
T-Shirt,Thomas Rhett
Wild Things,Alessia Cara
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
Think Of You,Chris Young Duet With Cassadee Pope
Snapback,Old Dominion
Still Here,Drake
My Church,Maren Morris
Mind Reader,Dustin Lynch
Never Be Like You,Flume Featuring Kai
The Sound Of Silence,Disturbed
Really Really,Kevin Gates
Kiss It Better,Rihanna
Grammys,Drake Featuring Future
Wasted Time,Keith Urban
Wicked,Future
Childs Play,Drake
If It Ain't Love,Jason Derulo
Uber Everywhere,MadeinTYO
Might Not,Belly Featuring The Weeknd
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani
With You,Drake Featuring PARTYNEXTDOOR
Body,Dreezy Featuring Jeremih
9,Drake
Feel No Ways,Drake
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Ain't Your Mama,Jennifer Lopez
Head Over Boots,Jon Pardi
I Hate U I Love U,gnash Featuring Olivia O'Brien
Law,Yo Gotti Featuring E-40
U With Me_,Drake
Lights Come On,Jason Aldean
6 Inch,Beyonce Featuring The Weeknd
Into You,Ariana Grande
Piece By Piece,Kelly Clarkson
Record Year,Eric Church
You Don't Own Me,Grace Featuring G-Eazy
Moolah,Young Greatness
Famous,Kanye West
Promise,Kid Ink Featuring Fetty Wap
Church Bells,Carrie Underwood
Youth,Troye Sivan
Fire & Desire,Drake
Noise,Kenny Chesney
Father Stretch My Hands Pt_ 1,Kanye West
I Like The Sound Of That,Rascal Flatts
Faded,Alan Walker
Confession,Florida Georgia Line
Messin' Around,Pitbull Featuring Enrique Iglesias
Team,Iggy Azalea
Ophelia,The Lumineers
One Dance,Drake Featuring WizKid & Kyla
Panda,Desiigner
7 Years,Lukas Graham
I Took A Pill In Ibiza,Mike Posner
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Work,Rihanna Featuring Drake
Don't Let Me Down,The Chainsmokers Featuring Daya
Pillowtalk,Zayn
This Is What You Came For,Calvin Harris Featuring Rihanna
Love Yourself,Justin Bieber
Sorry,Beyonce
No,Meghan Trainor
Needed Me,Rihanna
My House,Flo Rida
Stressed Out,twenty one pilots
Hold Up,Beyonce
"Me, Myself & I",G-Eazy x Bebe Rexha
Dangerous Woman,Ariana Grande
Formation,Beyonce
H_O_L_Y_,Florida Georgia Line
Pop Style,Drake Featuring The Throne
Cake By The Ocean,DNCE
Never Forget You,Zara Larsson & MNEK
Low Life,Future Featuring The Weeknd
Oui,Jeremih
2 Phones,Kevin Gates
Sorry,Justin Bieber
6 Inch,Beyonce Featuring The Weeknd
My Boo,Ghost Town DJ's
Middle,DJ Snake Featuring Bipolar Sunshine
Close,Nick Jonas Featuring Tove Lo
Let It Go,James Bay
Hype,Drake
Controlla,Drake
Exchange,Bryson Tiller
Stitches,Shawn Mendes
Don't Hurt Yourself,Beyonce Featuring Jack White
Grammys,Drake Featuring Future
One Call Away,Charlie Puth
Still Here,Drake
Somewhere On A Beach,Dierks Bentley
Lost Boy,Ruth B
Roses,The Chainsmokers Featuring Rozes
U With Me_,Drake
9,Drake
Don't,Bryson Tiller
With You,Drake Featuring PARTYNEXTDOOR
Cheap Thrills,Sia Featuring Sean Paul
Childs Play,Drake
Think Of You,Chris Young Duet With Cassadee Pope
Humble And Kind,Tim McGraw
Too Good,Drake Featuring Rihanna
Feel No Ways,Drake
Weston Road Flows,Drake
Just Like Fire,P!nk
Wild Things,Alessia Cara
Cut It,O_T_ Genasis Featuring Young Dolph
Ride,twenty one pilots
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
Snapback,Old Dominion
Redemption,Drake
T-Shirt,Thomas Rhett
Don't Mind,Kent Jones
All Night,Beyonce
Freedom,Beyonce Featuring Kendrick Lamar
Daddy Lessons,Beyonce
The Sound Of Silence,Disturbed
Keep The Family Close,Drake
Came Here To Forget,Blake Shelton
Pray You Catch Me,Beyonce
Sandcastles,Beyonce
Faithful,Drake Featuring Pimp C & dvsn
Love Drought,Beyonce
True Colors,Zedd & Kesha
Fire & Desire,Drake
Kiss It Better,Rihanna
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
Mind Reader,Dustin Lynch
Never Be Like You,Flume Featuring Kai
My Church,Maren Morris
Really Really,Kevin Gates
Wicked,Future
Youth,Troye Sivan
Uber Everywhere,MadeinTYO
Might Not,Belly Featuring The Weeknd
Views,Drake
If It Ain't Love,Jason Derulo
Team,Iggy Azalea
Summer Sixteen,Drake
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Promise,Kid Ink Featuring Fetty Wap
Body,Dreezy Featuring Jeremih
Piece By Piece,Kelly Clarkson
Head Over Boots,Jon Pardi
Famous,Kanye West
Confession,Florida Georgia Line
I Like The Sound Of That,Rascal Flatts
Father Stretch My Hands Pt_ 1,Kanye West
I Hate U I Love U,gnash Featuring Olivia O'Brien
Law,Yo Gotti Featuring E-40
Panda,Desiigner
One Dance,Drake Featuring WizKid & Kyla
7 Years,Lukas Graham
Purple Rain,Prince And The Revolution
I Took A Pill In Ibiza,Mike Posner
Work,Rihanna Featuring Drake
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
When Doves Cry,Prince
Pillowtalk,Zayn
Formation,Beyonce
Sorry,Beyonce
No,Meghan Trainor
Hold Up,Beyonce
Don't Let Me Down,The Chainsmokers Featuring Daya
Love Yourself,Justin Bieber
Stressed Out,twenty one pilots
"Me, Myself & I",G-Eazy x Bebe Rexha
6 Inch,Beyonce Featuring The Weeknd
My House,Flo Rida
Little Red Corvette,Prince
Dangerous Woman,Ariana Grande
Needed Me,Rihanna
Kiss,Prince And The Revolution
Cake By The Ocean,DNCE
Let's Go Crazy,Prince And The Revolution
Never Forget You,Zara Larsson & MNEK
1999,Prince
Don't Hurt Yourself,Beyonce Featuring Jack White
Low Life,Future Featuring The Weeknd
Oui,Jeremih
Sorry,Justin Bieber
2 Phones,Kevin Gates
Raspberry Beret,Prince And The Revolution
Middle,DJ Snake Featuring Bipolar Sunshine
Freedom,Beyonce Featuring Kendrick Lamar
Close,Nick Jonas Featuring Tove Lo
Pray You Catch Me,Beyonce
All Night,Beyonce
I Would Die 4 U,Prince And The Revolution
Pop Style,Drake Featuring The Throne
Daddy Lessons,Beyonce
Let It Go,James Bay
Sandcastles,Beyonce
Exchange,Bryson Tiller
Stitches,Shawn Mendes
One Call Away,Charlie Puth
Love Drought,Beyonce
Roses,The Chainsmokers Featuring Rozes
Jumpman,Drake & Future
Don't,Bryson Tiller
Somewhere On A Beach,Dierks Bentley
Think Of You,Chris Young Duet With Cassadee Pope
Humble And Kind,Tim McGraw
Cheap Thrills,Sia Featuring Sean Paul
Lost Boy,Ruth B
Cut It,O_T_ Genasis Featuring Young Dolph
Wild Things,Alessia Cara
Youth,Troye Sivan
The Sound Of Silence,Disturbed
Snapback,Old Dominion
Came Here To Forget,Blake Shelton
T-Shirt,Thomas Rhett
Forward,Beyonce Featuring James Blake
My Church,Maren Morris
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
Ride,twenty one pilots
Kiss It Better,Rihanna
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
Mind Reader,Dustin Lynch
Back To Sleep,Chris Brown
Never Be Like You,Flume Featuring Kai
You Should Be Here,Cole Swindell
Summer Sixteen,Drake
Team,Iggy Azalea
Just Like Fire,P!nk
Really Really,Kevin Gates
Promise,Kid Ink Featuring Fetty Wap
I Like The Sound Of That,Rascal Flatts
Might Not,Belly Featuring The Weeknd
Wicked,Future
Confession,Florida Georgia Line
Father Stretch My Hands Pt_ 1,Kanye West
Famous,Kanye West
Wake Up,Fetty Wap
Uber Everywhere,MadeinTYO
Body,Dreezy Featuring Jeremih
If It Ain't Love,Jason Derulo
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Head Over Boots,Jon Pardi
New Level,A$AP Ferg Featuring Future
Company,Justin Bieber
Acquainted,The Weeknd
Piece By Piece,Kelly Clarkson
Go Flex,Post Malone
Law,Yo Gotti Featuring E-40
I Hate U I Love U,gnash Featuring Olivia O'Brien
Moolah,Young Greatness
Lights Come On,Jason Aldean
That Don't Sound Like You,Lee Brice
Record Year,Eric Church
Panda,Desiigner
7 Years,Lukas Graham
One Dance,Drake Featuring WizKid & Kyla
Work,Rihanna Featuring Drake
I Took A Pill In Ibiza,Mike Posner
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
No,Meghan Trainor
Pillowtalk,Zayn
Love Yourself,Justin Bieber
"Me, Myself & I",G-Eazy x Bebe Rexha
Cake By The Ocean,DNCE
My House,Flo Rida
Stressed Out,twenty one pilots
Don't Let Me Down,The Chainsmokers Featuring Daya
Dangerous Woman,Ariana Grande
Never Forget You,Zara Larsson & MNEK
Purple Rain,Prince And The Revolution
Low Life,Future Featuring The Weeknd
2 Phones,Kevin Gates
When Doves Cry,Prince
Sorry,Justin Bieber
Oui,Jeremih
Needed Me,Rihanna
Middle,DJ Snake Featuring Bipolar Sunshine
Pop Style,Drake Featuring The Throne
Close,Nick Jonas Featuring Tove Lo
One Call Away,Charlie Puth
Kiss,Prince And The Revolution
Little Red Corvette,Prince
Stitches,Shawn Mendes
Let It Go,James Bay
Exchange,Bryson Tiller
Roses,The Chainsmokers Featuring Rozes
Jumpman,Drake & Future
Hands To Myself,Selena Gomez
Hello,Adele
Don't,Bryson Tiller
Somewhere On A Beach,Dierks Bentley
Let's Go Crazy,Prince And The Revolution
Down In The DM,Yo Gotti Featuring Nicki Minaj
1999,Prince
Just Like Fire,P!nk
Cut It,O_T_ Genasis Featuring Young Dolph
Humble And Kind,Tim McGraw
Think Of You,Chris Young Duet With Cassadee Pope
The Sound Of Silence,Disturbed
Cheap Thrills,Sia Featuring Sean Paul
The Hills,The Weeknd
Youth,Troye Sivan
Lost Boy,Ruth B
Snapback,Old Dominion
Wild Things,Alessia Cara
Came Here To Forget,Blake Shelton
Confession,Florida Georgia Line
You Should Be Here,Cole Swindell
T-Shirt,Thomas Rhett
Back To Sleep,Chris Brown
Company,Justin Bieber
I Like The Sound Of That,Rascal Flatts
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
My Church,Maren Morris
Famous,Kanye West
Promise,Kid Ink Featuring Fetty Wap
Father Stretch My Hands Pt_ 1,Kanye West
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
Summer Sixteen,Drake
Team,Iggy Azalea
Really Really,Kevin Gates
Mind Reader,Dustin Lynch
Kiss It Better,Rihanna
Might Not,Belly Featuring The Weeknd
Never Be Like You,Flume Featuring Kai
Wicked,Future
Ride,twenty one pilots
Acquainted,The Weeknd
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Body,Dreezy Featuring Jeremih
New Romantics,Taylor Swift
Head Over Boots,Jon Pardi
Uber Everywhere,MadeinTYO
That Don't Sound Like You,Lee Brice
Piece By Piece,Kelly Clarkson
Drunk On Your Love,Brett Eldredge
If It Ain't Love,Jason Derulo
Moolah,Young Greatness
Law,Yo Gotti Featuring E-40
Saved,Ty Dolla $ign Featuring E-40
Little Bit Of You,Chase Bryant
Ophelia,The Lumineers
Lights Come On,Jason Aldean
Wasted Time,Keith Urban
Might Be,DJ Luke Nasty
I Hate U I Love U,gnash Featuring Olivia O'Brien
Faded,Alan Walker
You Don't Own Me,Grace Featuring G-Eazy
Noise,Kenny Chesney
Pt_ 2,Kanye West
Jimmy Choo,Fetty Wap
Let Me Love You,Ariana Grande Featuring Lil Wayne
Fast Car,Jonas Blue Featuring Dakota
Work,Rihanna Featuring Drake
Panda,Desiigner
7 Years,Lukas Graham
No,Meghan Trainor
Pillowtalk,Zayn
I Took A Pill In Ibiza,Mike Posner
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Love Yourself,Justin Bieber
Cake By The Ocean,DNCE
"Me, Myself & I",G-Eazy x Bebe Rexha
Stressed Out,twenty one pilots
My House,Flo Rida
One Dance,Drake Featuring WizKid & Kyla
Dangerous Woman,Ariana Grande
Never Forget You,Zara Larsson & MNEK
Sorry,Justin Bieber
Don't Let Me Down,The Chainsmokers Featuring Daya
2 Phones,Kevin Gates
Pop Style,Drake Featuring The Throne
Oui,Jeremih
Low Life,Future Featuring The Weeknd
Middle,DJ Snake Featuring Bipolar Sunshine
One Call Away,Charlie Puth
Hands To Myself,Selena Gomez
Jumpman,Drake & Future
Stitches,Shawn Mendes
Hello,Adele
Roses,The Chainsmokers Featuring Rozes
Close,Nick Jonas Featuring Tove Lo
Don't,Bryson Tiller
Exchange,Bryson Tiller
Down In The DM,Yo Gotti Featuring Nicki Minaj
Needed Me,Rihanna
Let It Go,James Bay
Somewhere On A Beach,Dierks Bentley
Humble And Kind,Tim McGraw
Back To Sleep,Chris Brown
You Should Be Here,Cole Swindell
The Hills,The Weeknd
Think Of You,Chris Young Duet With Cassadee Pope
Lost Boy,Ruth B
The Sound Of Silence,Disturbed
Youth,Troye Sivan
Cut It,O_T_ Genasis Featuring Young Dolph
Die A Happy Man,Thomas Rhett
New Romantics,Taylor Swift
Cheap Thrills,Sia Featuring Sean Paul
Came Here To Forget,Blake Shelton
Famous,Kanye West
Snapback,Old Dominion
Summer Sixteen,Drake
I Like The Sound Of That,Rascal Flatts
Company,Justin Bieber
Father Stretch My Hands Pt_ 1,Kanye West
Confession,Florida Georgia Line
Wild Things,Alessia Cara
Promise,Kid Ink Featuring Fetty Wap
My Church,Maren Morris
Team,Iggy Azalea
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
T-Shirt,Thomas Rhett
Really Really,Kevin Gates
Piece By Piece,Kelly Clarkson
That Don't Sound Like You,Lee Brice
Drunk On Your Love,Brett Eldredge
Ophelia,The Lumineers
Mind Reader,Dustin Lynch
Might Not,Belly Featuring The Weeknd
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
Messin' Around,Pitbull Featuring Enrique Iglesias
Little Bit Of You,Chase Bryant
Acquainted,The Weeknd
Pt_ 2,Kanye West
Try Everything,Shakira
Light It Up,Major Lazer Featuring Nyla & Fuse ODG
Never Be Like You,Flume Featuring Kai
Body,Dreezy Featuring Jeremih
Ride,twenty one pilots
Might Be,DJ Luke Nasty
Nobody To Blame,Chris Stapleton
Saved,Ty Dolla $ign Featuring E-40
Uber Everywhere,MadeinTYO
Kiss It Better,Rihanna
Head Over Boots,Jon Pardi
Law,Yo Gotti Featuring E-40
Waves,Kanye West
Moolah,Young Greatness
Sugar,Robin Schulz Featuring Francesco Yates
Jimmy Choo,Fetty Wap
